artist_name,Frequência
Spiritualized®,2
Roger Waters,2
Eric Dolphy,2
Billie Eilish,2
The Internet,2
The Brave Little Abacus,2
Yeasayer,2
Keane,2
21 Savage & Metro Boomin,2
Clipse,2
Bruno Pernadas,2
Poppy,2
Madlib,2
Deicide,2
Wayne Shorter,2
Kamasi Washington,2
Blu & Exile,2
Fear Factory,2
Thaiboy Digital,2
Richard Dawson,2
MONO,2
Chrome,2
Rainbow,2
death's dynamic shroud.wmv,2
Common,2
Dorian Electra,2
大貫妙子 [Taeko Ohnuki],2
Women,2
Rosalía,2
Ennio Morricone,2
Shellac,2
The Books,2
Lynyrd Skynyrd,2
Pestilence,2
Duran Duran,2
The Field,2
Parliament,2
Moonsorrow,2
Actress,2
Joyce Manor,2
Annihilator,2
dredg,2
Antony and the Johnsons,2
Animals as Leaders,2
Steve Reich and Musicians,2
Garbage,2
Strapping Young Lad,2
Snail Mail,2
Jessie Ware,2
Acid Bath,2
Clairo,2
Weyes Blood,2
Mos Def,2
Godspeed You Black Emperor!,2
The Hives,2
Playboi Carti,2
Oranssi Pazuzu,2
2814,2
Cardiacs,2
Frank Sinatra,2
Mumford & Sons,2
The Future Sound of London,2
C418,2
Andrew Bird,2
AFI,2
Grandaddy,2
Sodom,2
Freddie Gibbs & The Alchemist,2
Spiritualized,2
Haim,2
Isaiah Rashad,2
Harry Styles,2
Halsey,2
Simon and Garfunkel,2
Cradle of Filth,2
Daughter,2
J.I.D,2
Passion Pit,2
Jesu,2
Spacemen 3,2
Swell Maps,2
Dälek,2
Courtney Barnett,2
The Raincoats,2
MF DOOM,2
Yellow Magic Orchestra,2
Lush,2
Jane's Addiction,2
The Pharcyde,2
Echo and The Bunnymen,2
Dinosaur,2
yeule,2
Sublime,2
Syd Barrett,2
Minutemen,2
Young Thug,2
Arthur Russell,2
George Clanton,2
Baths,2
Drive Like Jehu,2
SOPHIE,2
Lily Allen,2
Harmonia,2
Jean Michel Jarre,2
The Band,2
Natalia Lafourcade,2
Premiata Forneria Marconi,2
Lil Peep,2
Fennesz,2
Katy Perry,2
Fripp & Eno,2
Nile,2
The Mothers,2
Lamb of God,2
Skee Mask,2
Gang of Four,2
Swirlies,2
Mass of the Fermenting Dregs,2
Elvis Presley,2
Joji,2
slowthai,2
The Jesus Lizard,2
Joey Bada$$,2
black midi,2
Crass,2
Japan,2
Lil Pump,2
Mike Oldfield,2
Injury Reserve,2
Jon Hopkins,2
The Notorious B.I.G.,2
Moses Sumney,2
Buffalo Springfield,2
The Drones,2
Freddie Gibbs & Madlib,2
Rise Against,2
Danzig,2
Bohren & der Club of Gore,2
Ride,2
N.W.A,2
Skid Row,2
Autopsy,2
Band of Horses,2
The World Is a Beautiful Place & I Am No Longer Afraid to Die,2
Ka,2
Blank Banshee,2
Fairport Convention,2
Darkside,2
The Horrors,2
At the Gates,2
Beirut,2
Backxwash,2
Blackout,1
Murmuüre,1
Nujabes / Fat Jon,1
Jeru the Damaja,1
The Waterboys,1
Jefre Cantu-Ledesma,1
Damon Albarn,1
Bon Jovi,1
Method Man,1
The Black Crowes,1
the Bad & the Queen,1
Amesoeurs,1
The Pop Group,1
Zach Hill,1
Wolfmother,1
Kashiwa Daisuke,1
Goodie Mob,1
Dadawah,1
Origami Angel,1
The For Carnation,1
Sun City Girls,1
Bowery Electric,1
Nara Leão,1
Lil Nas X,1
Cannibal Ox,1
Shabaka and The Ancestors,1
Mount Eerie With Julie DoironMount EerieJulie Doiron,1
Gal Costa,1
DJ Rashad,1
Otis Redding,1
Ryoji Ikeda,1
Tigers Jaw,1
James Carr,1
The Walkmen,1
Flower Travellin' Band,1
Wolf Parade,1
The Blood Brothers,1
Spiritualized?,1
The Silver Mt. Zion Memorial Orchestra & Tra-La-La Band With Choir,1
Pinegrove,1
Wavves,1
Budgie,1
Luciano Cilio,1
Big L,1
Rob Scallon & Doug Walker,1
Company Flow,1
Adolescents,1
Bad Bunny,1
Waste of Space Orchestra,1
Taking Back Sunday,1
Sunn O))) & Ulver,1
Scissor Sisters,1
Hatchie,1
Fela Ransome Kuti & The Afrika 70Fela KutiThe Africa '70,1
Neil Young and Crazy HorseNeil YoungCrazy Horse,1
Preoccupations,1
Baby Keem,1
Orphaned Land,1
Peter Bjorn and John,1
Free,1
Camp Lo,1
David Thomas Broughton,1
Ella Fitzgerald & Louis Armstrong,1
파란노을 [Parannoul],1
Christoph de Babalon,1
Aaliyah,1
Botch,1
Joe Satriani,1
The KLF,1
Trust,1
T2,1
João Gilberto,1
The Sundays,1
Justin Bieber,1
Kelela,1
The Mama's and The Papa's,1
Robin Guthrie & Simon Raymonde,1
Kazumoto Endo,1
The Specials,1
Röyksopp,1
Big Pun,1
Three-6 Mafia,1
Sigh,1
Blind Melon,1
Ashra,1
Skinny Puppy,1
Rex Orange County,1
Princess Nokia,1
Septicflesh,1
The Gaslight Anthem,1
The Fratellis,1
Rosetta,1
Harold Budd / Brian EnoHarold BuddBrian Eno,1
Caroline Polachek,1
The Moody Blues,1
808 State,1
Franco Battiato,1
Orange Juice,1
Sampha,1
Cyndi Lauper,1
Cluster & Eno,1
Possessed,1
Lianne La Havas,1
The Psychedelic Furs,1
Descendents,1
Norah Jones,1
The Velvet Underground & Nico,1
Banco del Mutuo Soccorso,1
Prurient,1
Royal Trux,1
(The) Melvins,1
Common Sense,1
Mingus,1
High on Fire,1
Kaiser Chiefs,1
Молчат дома [Molchat doma],1
Gene Clark,1
Brainbombs,1
Godflesh,1
Yardbirds,1
Denzel Curry x Kenny BeatsDenzel CurryKenny Beats,1
6ix9ine,1
Einstuerzende Neubauten,1
Andrew W.K.,1
Rites of Spring,1
Батюшка [Batushka],1
山岡晃 [Akira Yamaoka],1
D'Angelo and The Vanguard,1
Bob Dylan & The Band,1
Jorja Smith,1
Hot Chip,1
Edge of Sanity,1
Lucinda Williams,1
The White Noise,1
The Field Mice,1
Contortions / Teenage Jesus and The Jerks / Mars / D.N.A.James Chance & The ContortionsTeenage Jesus & The JerksMarsDNA,1
Strawberry Switchblade,1
Jaco Pastorius,1
Goat,1
유키카 [YUKIKA],1
Miles Davis + 19,1
A Silver Mt. Zion,1
Makaveli,1
The Goslings,1
The Crazy World of Arthur Brown,1
Bill Withers,1
Silvana Estrada,1
Modern Baseball,1
Slum Village,1
Nilsson,1
Laurie Anderson,1
A. G. Cook,1
Kvelertak,1
The The,1
Susanne Sundfør,1
Artillery,1
NoMeansNo,1
Stan Getz & João Gilberto featuring Antônio Carlos Jobim,1
Captain Beefheart and His Magic Band,1
The Rapture,1
Neil Young + Crazy HorseNeil YoungCrazy Horse,1
Moby Grape,1
The Darkness,1
Mojave 3,1
春ねむり [Haru Nemuri],1
Dan Johnston,1
Ramleh,1
King Gizzard & the Lizard Wizard With Mild High ClubKing Gizzard & The Lizard WizardMild High Club,1
Weather Report,1
Gris,1
Tycho,1
The Cult,1
Sadness,1
Nanoray,1
Moondog,1
Rob Zombie,1
Jay Som,1
Avantdale Bowling Club,1
Terrorizer,1
Baby Huey,1
Magazine,1
Blackfield,1
INXS,1
Felt,1
The Kooks,1
diSEMBOWELMENT,1
Bad Company,1
Circle Takes the Square,1
Dr. John,1
Billy Woods,1
L'Rain,1
Boris With Merzbow,1
The Fiery Furnaces,1
The Ornette Coleman Double Quartet,1
David Crosby,1
pageninetynine,1
Bill Evans Trio,1
Roddy Ricch,1
Fela Ransome Kuti & Africa 70Fela KutiThe Africa '70,1
The Postal Service,1
The Vaccines,1
Shining,1
Necrophagist,1
Oh Sees,1
John Lennon / Plastic Ono Band,1
Global Communication,1
SBTRKT,1
Waka Flocka Flame,1
Genius/GZA,1
Hiatus Kaiyote,1
Clint Mansell Featuring Kronos QuartetClint MansellKronos Quartet,1
Billie Holiday & Ray Ellis and His OrchestraBillie HolidayRay Ellis,1
Gwen Stefani,1
Guru,1
Atomic Rooster,1
Jay Reatard,1
2 Chainz,1
Perfume,1
Oxbow,1
The Slits,1
Ol' Dirty Bastard,1
Alex Cameron,1
Girl Talk,1
Campfire Songs,1
Invisible,1
Greta Van Fleet,1
Mark Hollis,1
Shuggie Otis,1
The Teardrop Explodes,1
Bert Jansch,1
Discordance Axis,1
Savatage,1
Rod Stewart,1
Seefeel,1
Evanescence,1
Future Islands,1
Velvet Revolver,1
Glassjaw,1
Sugar,1
Bryce Dessner & James McAlister,1
Contortions,1
Boston,1
Wes Montgomery,1
Patti Smith,1
Phil Collins,1
WHY?,1
Kevin Ayers,1
Art Blakey and The Jazz Messengers,1
The Pink Floyd,1
Blink,1
DJ Rozwell,1
Mount Eerie with Julie Doiron & Fred SquireMount EerieJulie DoironFred Squire,1
Silver Apples,1
Ana Frango Elétrico,1
City Morgue,1
Brian Eno-David ByrneBrian EnoDavid Byrne,1
Demilich,1
Dark Throne,1
Living Colour,1
Hermit and the Recluse,1
Fela Anikulapo Kuti and Afrika 70Fela KutiThe Africa '70,1
Turnstile,1
Avey Tare,1
Rowland S. Howard,1
Deltron 3030,1
Elizabeth Fraser,1
きのこ帝国 [Kinoko Teikoku],1
Milton Nascimento & Lô Borges,1
Lee Morgan,1
Nick Cave Featuring The Bad Seeds,1
神聖かまってちゃん [Shinsei Kamattechan],1
Tennis,1
tUnE-yArDs,1
Viper,1
Lemonheads,1
Seatbelts,1
Biosphere,1
Zappa,1
Mission of Burma,1
フィッシュマンズ,1
Aminé,1
Atoms for Peace,1
Best Coast,1
X,1
Offspring,1
Gil Scott-Heron & Jamie xx,1
Matt Elliott,1
Buzzcocks,1
Imogen Heap,1
